LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	4	0	4	0	0	0	0	0	
A-Boo Peak	8	1	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Boxing Daycare	1	0	1	0	0	0	0	0	
Chateau Painting	0	2	0	0	0	0	0	0	
Cobb's Knob Harem	1	1	0	0	0	0	0	0	
Cobb's Knob Treasury	0	1	0	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	4	0	0	0	0	0	0	
Evoke Eldritch Horror	0	4	0	0	2	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
God Lobster	0	9	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	1	0	0	0	0	0	0	0	
Infernal Rackets Backstage	11	0	5	0	0	0	0	0	
Inside the Palindome	7	4	3	1	0	0	0	1	
Lair of the Ninja Snowmen	6	1	0	1	0	0	1	1	
Madness Bakery	0	1	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	3	0	0	0	
Near an Abandoned Refrigerator	1	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	1	1	0	1	0	0	0	1	
Oil Peak	6	0	1	0	0	0	0	0	
Out by that Rusted-Out Car	1	0	0	0	0	0	0	0	
Over Where the Old Tires Are	1	1	0	0	0	0	0	0	
Sleaziest Adventurer Contest	1	0	0	0	0	0	0	0	
Smoothest Adventurer Contest	1	0	0	0	0	0	0	0	
Sonofa Beach	5	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	14	6	0	0	4	0	0	0	
The Batrat and Ratbat Burrow	1	4	0	1	1	0	0	1	
The Battlefield (Frat Uniform)	22	0	1	0	0	0	0	0	
